UDI;ProductID;Type;AirTemperatureK;ProcessTemperatureK;RotationalSpeedRPM;TorqueNm;ToolWearMin;MachineFailure;TWF;HDF;PWF;OSF;RNF;EventDate;Site;City;Technician;Criticality;EstimatedCost;Status
1875;L49054;L;298,4;308,1;1598;32,7;94;0;0;0;0;0;0;2025-02-14;Site_E;Ibadan;Kemi;Medium;5549;Monitoring
1876;L49055;L;298,3;308;1363;50,1;96;0;0;0;0;0;0;2025-09-05;Site_B;Abuja;Fatima;Low;2151;Monitoring
1877;L49056;L;298,3;308;1242;62;98;0;0;0;0;0;0;2025-11-08;Site_D;PortHarcourt;Tunde;Medium;3141;Monitoring
1878;M16737;M;298,2;307,8;1566;33,8;100;0;0;0;0;0;0;2024-08-03;Site_A;Lagos;Kemi;Low;1182;Scheduled
1879;M16738;M;298,1;307,7;1424;47,7;103;0;0;0;0;0;0;2024-07-01;Site_D;PortHarcourt;Ibrahim;Medium;4971;Scheduled
1880;M16739;M;298,2;307,7;1608;33,8;106;0;0;0;0;0;0;2024-01-05;Site_D;PortHarcourt;Tunde;Low;544;Monitoring
1881;L49060;L;298,1;307,7;1705;29,1;109;0;0;0;0;0;0;2025-12-03;Site_D;PortHarcourt;Ibrahim;Low;1469;Monitoring
1882;L49061;L;298;307,6;1548;45,8;111;0;0;0;0;0;0;2026-01-08;Site_E;Ibadan;David;Low;1796;Monitoring
1883;M16742;M;298;307,6;1581;43,4;113;0;0;0;0;0;0;2025-01-18;Site_C;Kano;Kemi;Low;1058;Scheduled
1884;M16743;M;298;307,6;1472;46,7;116;0;0;0;0;0;0;2025-12-02;Site_B;Abuja;Samuel;Low;1462;Scheduled
1885;M16744;M;298;307,6;1792;26;119;0;0;0;0;0;0;2024-03-19;Site_B;Abuja;Ngozi;Medium;2821;Scheduled
1886;L49065;L;298;307,6;1683;32,8;122;0;0;0;0;0;0;2024-11-30;Site_F;Enugu;Zainab;Low;2163;Monitoring
1887;L49066;L;297,9;307,6;1503;40,7;124;0;0;0;0;0;0;2026-01-29;Site_A;Lagos;Fatima;Medium;5851;Monitoring
1888;M16747;M;297,9;307,5;1642;32,4;126;0;0;0;0;0;0;2026-02-06;Site_F;Enugu;David;Low;1952;Monitoring
1889;M16748;M;297,8;307,4;1902;24,3;129;0;0;0;0;0;0;2024-08-16;Site_D;PortHarcourt;Samuel;Low;926;Scheduled
1890;H31303;H;297,7;307,4;1432;40,2;132;0;0;0;0;0;0;2026-01-03;Site_A;Lagos;Samuel;Medium;2934;Monitoring
1891;L49070;L;297,8;307,4;1512;40,8;137;0;0;0;0;0;0;2026-03-15;Site_F;Enugu;David;Medium;5284;Scheduled
1892;L49071;L;297,7;307,4;1764;29;139;0;0;0;0;0;0;2024-01-15;Site_C;Kano;Kemi;Medium;5540;Scheduled
1893;M16752;M;297,8;307,4;1438;43,6;141;0;0;0;0;0;0;2024-08-25;Site_E;Ibadan;David;Low;738;Monitoring
1894;L49073;L;297,8;307,5;1631;29,9;144;0;0;0;0;0;0;2024-02-08;Site_F;Enugu;Amina;Low;2090;Monitoring
1895;H31308;H;297,9;307,5;1880;23,3;146;0;0;0;0;0;0;2024-05-20;Site_F;Enugu;Kemi;Medium;3803;Monitoring
1896;L49075;L;297,9;307,6;1344;54,3;151;0;0;0;0;0;0;2025-08-26;Site_C;Kano;Amina;Medium;4617;Scheduled
1897;L49076;L;297,9;307,5;1574;35,8;153;0;0;0;0;0;0;2024-08-08;Site_F;Enugu;Fatima;Low;1046;Monitoring
1898;L49077;L;297,8;307,4;1418;41,2;155;0;0;0;0;0;0;2024-06-08;Site_C;Kano;Ngozi;Medium;2756;Scheduled
1899;L49078;L;297,8;307,5;1372;54,1;157;0;0;0;0;0;0;2026-01-08;Site_B;Abuja;Chinedu;Low;976;Monitoring
1900;L49079;L;297,8;307,5;1388;40;159;0;0;0;0;0;0;2025-10-04;Site_B;Abuja;Ibrahim;Medium;4329;Monitoring
1901;H31314;H;297,9;307,6;1493;36;161;0;0;0;0;0;0;2026-03-22;Site_C;Kano;Tunde;Low;1554;Scheduled
1902;M16761;M;297,9;307,6;1505;40,1;166;0;0;0;0;0;0;2025-09-24;Site_B;Abuja;Chinedu;Low;2059;Scheduled
1903;L49082;L;298;307,6;1694;29,1;169;0;0;0;0;0;0;2024-05-23;Site_B;Abuja;Tunde;Medium;2645;Monitoring
1904;L49083;L;297,9;307,6;1968;20,4;171;0;0;0;0;0;0;2024-05-25;Site_A;Lagos;Samuel;Low;2343;Scheduled
1905;M16764;M;298;307,6;1569;35,6;173;0;0;0;0;0;0;2026-01-28;Site_A;Lagos;Amina;Medium;3350;Monitoring
1906;L49085;L;297,9;307,6;1687;29,1;176;0;0;0;0;0;0;2025-04-28;Site_E;Ibadan;Chinedu;Low;2096;Scheduled
1907;L49086;L;297,9;307,6;1430;52,4;178;0;0;0;0;0;0;2025-08-17;Site_F;Enugu;Fatima;Low;2177;Monitoring
1908;L49087;L;297,9;307,6;1504;42,4;180;0;0;0;0;0;0;2024-02-24;Site_F;Enugu;Ibrahim;Medium;4926;Monitoring
1909;L49088;L;297,9;307,6;1977;20,2;182;0;0;0;0;0;0;2024-02-21;Site_B;Abuja;David;Medium;3551;Scheduled
1910;L49089;L;298;307,7;1435;45,6;184;0;0;0;0;0;0;2025-10-03;Site_F;Enugu;David;Medium;5443;Monitoring
1911;H31324;H;298;307,7;1547;36,8;186;0;0;0;0;0;0;2025-06-30;Site_D;PortHarcourt;Amina;Medium;3212;Scheduled
1912;M16771;M;298,1;307,8;1316;57,2;191;0;0;0;0;0;0;2025-08-24;Site_A;Lagos;Amina;Medium;3365;Scheduled
1913;M16772;M;298;307,7;1621;34,9;194;0;0;0;0;0;0;2025-12-17;Site_A;Lagos;Ibrahim;Low;2079;Monitoring
1914;M16773;M;298;307,8;1492;40,2;197;0;0;0;0;0;0;2026-04-06;Site_C;Kano;Zainab;Medium;4443;Monitoring
1915;L49094;L;298;307,7;1643;32,3;200;0;0;0;0;0;0;2024-10-16;Site_F;Enugu;Samuel;Medium;4224;Monitoring
1916;L49095;L;298;307,7;1492;38,7;202;0;0;0;0;0;0;2024-06-06;Site_D;PortHarcourt;Ibrahim;Low;990;Monitoring
1917;L49096;L;298;307,7;1387;50,8;204;0;0;0;0;0;0;2024-06-16;Site_E;Ibadan;Amina;Medium;3703;Scheduled
1918;M16777;M;298,1;307,9;1463;47,3;206;0;0;0;0;0;0;2025-05-09;Site_F;Enugu;Ngozi;Low;2210;Monitoring
1919;M16778;M;298,1;307,9;1496;40;0;0;0;0;0;0;0;2024-10-26;Site_A;Lagos;Amina;Medium;4228;Scheduled
1920;L49099;L;298,2;308;1658;30;3;0;0;0;0;0;0;2024-06-07;Site_D;PortHarcourt;Ibrahim;Medium;4801;Monitoring
1921;L49100;L;298,1;307,9;2161;17,5;5;0;0;0;0;0;0;2025-07-26;Site_D;PortHarcourt;Ngozi;Low;1914;Scheduled
1922;L49101;L;298,1;307,9;1665;32;7;0;0;0;0;0;0;2024-07-11;Site_E;Ibadan;David;Low;849;Scheduled
1923;L49102;L;298;307,8;1716;26,6;9;0;0;0;0;0;0;2025-08-04;Site_B;Abuja;Ibrahim;Medium;4798;Monitoring
1924;L49103;L;298;307,7;1529;34,1;11;0;0;0;0;0;0;2025-11-22;Site_F;Enugu;Samuel;Medium;3706;Scheduled
1925;L49104;L;297,9;307,7;1353;50,7;13;0;0;0;0;0;0;2024-07-19;Site_D;PortHarcourt;Chinedu;Low;1210;Scheduled
1926;L49105;L;297,9;307,7;1537;37,7;15;0;0;0;0;0;0;2024-03-12;Site_D;PortHarcourt;Tunde;Low;1059;Monitoring
1927;L49106;L;298;307,7;1606;30,8;17;0;0;0;0;0;0;2024-02-23;Site_C;Kano;Amina;Low;1865;Monitoring
1928;H31341;H;298;307,8;1314;47,8;19;0;0;0;0;0;0;2026-02-22;Site_B;Abuja;David;Low;1606;Scheduled
1929;L49108;L;298;307,8;1623;29,9;24;0;0;0;0;0;0;2026-01-24;Site_D;PortHarcourt;Kemi;Low;1025;Monitoring
1930;M16789;M;298;307,8;1483;50,9;26;0;0;0;0;0;0;2025-09-23;Site_D;PortHarcourt;Samuel;Low;2425;Scheduled
1931;M16790;M;298,1;307,9;1569;37;29;0;0;0;0;0;0;2025-02-03;Site_E;Ibadan;Zainab;Medium;2807;Monitoring
1932;M16791;M;298,2;308;1969;21,7;32;0;0;0;0;0;0;2026-01-24;Site_C;Kano;Ngozi;Low;605;Monitoring
1933;M16792;M;298,1;308;1686;29,3;35;0;0;0;0;0;0;2024-11-28;Site_C;Kano;Ibrahim;Medium;4016;Monitoring
1934;L49113;L;298,1;308;1638;35,1;38;0;0;0;0;0;0;2024-03-24;Site_C;Kano;Samuel;Low;594;Scheduled
1935;L49114;L;298,1;307,9;1698;33,3;40;0;0;0;0;0;0;2024-10-13;Site_F;Enugu;Zainab;Medium;2527;Scheduled
1936;M16795;M;298,1;307,9;1377;55,1;42;0;0;0;0;0;0;2025-11-03;Site_F;Enugu;David;Medium;4753;Monitoring
1937;M16796;M;298,1;308;2129;18,4;45;0;0;0;0;0;0;2025-03-23;Site_C;Kano;Samuel;Low;2063;Monitoring
1938;L49117;L;298,2;308;1411;42,4;48;0;0;0;0;0;0;2024-04-25;Site_F;Enugu;Kemi;Low;2108;Scheduled
1939;L49118;L;298,1;307,9;1517;40,8;50;0;0;0;0;0;0;2024-03-06;Site_F;Enugu;Kemi;Medium;2751;Monitoring
1940;M16799;M;298,1;307,9;1303;53,9;52;0;0;0;0;0;0;2025-05-11;Site_A;Lagos;Ibrahim;Low;1305;Scheduled
1941;L49120;L;298,1;307,9;1578;35,6;55;0;0;0;0;0;0;2024-08-24;Site_B;Abuja;Tunde;Medium;3210;Monitoring
1942;L49121;L;298,1;307,9;1425;58,2;57;0;0;0;0;0;0;2025-05-08;Site_D;PortHarcourt;Tunde;Medium;4109;Monitoring
1943;L49122;L;298,1;308;1456;42,4;59;0;0;0;0;0;0;2024-09-06;Site_A;Lagos;David;Low;1794;Scheduled
1944;L49123;L;298,1;308;1704;30,9;61;0;0;0;0;0;0;2025-05-08;Site_E;Ibadan;Ibrahim;Low;1865;Monitoring
1945;L49124;L;298,1;308,1;1791;27,3;63;0;0;0;0;0;0;2026-03-21;Site_D;PortHarcourt;Zainab;Medium;5532;Scheduled
1946;L49125;L;298,1;308,1;1616;32,8;65;0;0;0;0;0;0;2024-06-22;Site_F;Enugu;Samuel;Medium;2699;Monitoring
1947;L49126;L;298,2;308,1;1622;34,9;67;0;0;0;0;0;0;2025-04-14;Site_C;Kano;Kemi;Medium;5156;Monitoring
1948;L49127;L;298,2;308,1;1462;49,9;69;0;0;0;0;0;0;2024-06-20;Site_B;Abuja;David;Medium;4288;Scheduled
1949;L49128;L;298,1;308,1;1410;45,8;71;0;0;0;0;0;0;2025-09-09;Site_B;Abuja;Kemi;Low;2102;Scheduled
1950;M16809;M;298,1;308;1543;41,9;73;0;0;0;0;0;0;2025-05-05;Site_F;Enugu;Samuel;Low;1881;Monitoring
1951;M16810;M;298;307,9;1479;47,6;76;0;0;0;0;0;0;2025-08-27;Site_D;PortHarcourt;Fatima;Medium;4807;Scheduled
1952;L49131;L;298;307,8;1839;22,7;79;0;0;0;0;0;0;2025-11-03;Site_E;Ibadan;Chinedu;Low;1028;Monitoring
1953;L49132;L;298;307,8;1266;60,5;81;0;0;0;0;0;0;2024-07-24;Site_A;Lagos;Amina;Medium;4573;Scheduled
1954;L49133;L;297,9;307,7;1593;34,9;83;0;0;0;0;0;0;2026-02-16;Site_B;Abuja;Ngozi;Medium;4442;Scheduled
1955;L49134;L;297,9;307,8;1459;46,9;85;0;0;0;0;0;0;2025-10-06;Site_E;Ibadan;David;Medium;5884;Monitoring
1956;L49135;L;297,9;307,7;1308;55,2;87;0;0;0;0;0;0;2024-01-09;Site_B;Abuja;Tunde;Low;2002;Monitoring
1957;M16816;M;297,9;307,7;1364;46,8;89;0;0;0;0;0;0;2025-12-24;Site_A;Lagos;Chinedu;Medium;5852;Monitoring
1958;H31371;H;297,9;307,7;1618;35,9;92;0;0;0;0;0;0;2025-02-06;Site_B;Abuja;Samuel;Low;911;Scheduled
1959;H31372;H;297,9;307,7;1464;43,2;97;0;0;0;0;0;0;2025-02-27;Site_A;Lagos;Chinedu;Medium;4323;Monitoring
1960;M16819;M;297,8;307,6;1352;49,4;102;0;0;0;0;0;0;2024-09-24;Site_B;Abuja;Kemi;Medium;4961;Scheduled
1961;L49140;L;297,8;307,6;1446;51,4;105;0;0;0;0;0;0;2024-04-07;Site_F;Enugu;Samuel;Medium;5019;Scheduled
1962;L49141;L;297,8;307,5;1448;51,2;107;0;0;0;0;0;0;2024-03-20;Site_F;Enugu;Samuel;Medium;5093;Monitoring
1963;L49142;L;297,8;307,5;1391;48,6;109;0;0;0;0;0;0;2026-02-14;Site_B;Abuja;Samuel;Low;1454;Scheduled
1964;L49143;L;297,7;307,5;1379;43,3;111;0;0;0;0;0;0;2024-04-27;Site_E;Ibadan;David;Medium;4501;Scheduled
1965;M16824;M;297,8;307,5;1405;46,9;113;0;0;0;0;0;0;2024-02-22;Site_F;Enugu;Samuel;Low;2012;Scheduled
1966;L49145;L;297,8;307,5;1581;33,1;116;0;0;0;0;0;0;2025-07-16;Site_C;Kano;Tunde;Low;1803;Scheduled
1967;L49146;L;297,9;307,6;1515;40,5;118;0;0;0;0;0;0;2025-03-28;Site_E;Ibadan;Zainab;Medium;3102;Monitoring
1968;L49147;L;297,9;307,6;1589;37,8;120;0;0;0;0;0;0;2024-11-23;Site_E;Ibadan;Tunde;Low;2134;Monitoring
1969;L49148;L;298;307,6;1281;50,8;122;0;0;0;0;0;0;2026-03-25;Site_B;Abuja;Chinedu;Medium;2795;Scheduled
1970;H31383;H;297,8;307,5;1631;31,3;124;0;0;0;0;0;0;2025-11-16;Site_F;Enugu;Amina;Low;723;Monitoring
1971;M16830;M;297,9;307,6;1202;67;129;0;0;0;0;0;0;2025-05-14;Site_D;PortHarcourt;Chinedu;Medium;3835;Monitoring
1972;L49151;L;297,9;307,6;1298;52,7;132;0;0;0;0;0;0;2024-07-22;Site_C;Kano;Ngozi;Medium;5192;Scheduled
1973;L49152;L;297,9;307,6;1612;30,7;134;0;0;0;0;0;0;2024-02-08;Site_D;PortHarcourt;Zainab;Medium;5566;Monitoring
1974;L49153;L;297,9;307,6;1747;25,3;136;0;0;0;0;0;0;2025-01-11;Site_C;Kano;Tunde;Low;1603;Monitoring
1975;L49154;L;298;307,6;1450;48,7;138;0;0;0;0;0;0;2025-08-17;Site_C;Kano;Ibrahim;Low;1600;Monitoring
1976;L49155;L;298;307,7;1422;45,6;140;0;0;0;0;0;0;2025-01-30;Site_F;Enugu;Ngozi;Low;1725;Scheduled
1977;M16836;M;298,1;307,7;1419;47,4;142;0;0;0;0;0;0;2025-03-13;Site_C;Kano;Amina;Low;1844;Monitoring
1978;M16837;M;298,1;307,7;1633;30,7;145;0;0;0;0;0;0;2025-06-11;Site_C;Kano;Chinedu;Medium;4007;Monitoring
1979;L49158;L;298;307,7;1442;43,6;148;0;0;0;0;0;0;2024-01-19;Site_C;Kano;David;Medium;4694;Scheduled
1980;H31393;H;298;307,6;1420;45,8;150;0;0;0;0;0;0;2025-06-20;Site_A;Lagos;Chinedu;Medium;3743;Monitoring
1981;M16840;M;298;307,6;1301;58,5;155;0;0;0;0;0;0;2025-06-19;Site_D;PortHarcourt;Fatima;Medium;4003;Scheduled
1982;L49161;L;298;307,6;1385;45;158;0;0;0;0;0;0;2024-11-25;Site_B;Abuja;Kemi;Low;1775;Scheduled
1983;M16842;M;298;307,7;1487;41,3;160;0;0;0;0;0;0;2025-04-06;Site_F;Enugu;Ibrahim;Low;715;Scheduled
1984;M16843;M;298;307,6;1459;44,4;163;0;0;0;0;0;0;2025-10-26;Site_C;Kano;Chinedu;Medium;4534;Monitoring
1985;M16844;M;298;307,5;1387;45,5;166;0;0;0;0;0;0;2025-08-21;Site_C;Kano;Ngozi;Medium;2524;Monitoring
1986;L49165;L;298,1;307,7;1537;40,8;169;0;0;0;0;0;0;2025-06-27;Site_A;Lagos;David;Medium;2536;Scheduled
1987;L49166;L;298,1;307,6;1498;42,9;171;0;0;0;0;0;0;2025-12-05;Site_B;Abuja;Kemi;Low;1332;Monitoring
1988;M16847;M;298,2;307,8;1599;31,2;173;0;0;0;0;0;0;2024-10-08;Site_D;PortHarcourt;Chinedu;Low;2394;Monitoring
1989;H31402;H;298,3;307,9;1420;39,2;176;0;0;0;0;0;0;2024-07-16;Site_B;Abuja;Ngozi;Low;509;Scheduled
1990;L49169;L;298,2;307,9;1785;23,4;181;0;0;0;0;0;0;2025-06-24;Site_F;Enugu;Zainab;Medium;3481;Monitoring
1991;L49170;L;298,2;307,8;1423;48,1;183;0;0;0;0;0;0;2025-07-01;Site_B;Abuja;Samuel;Low;2134;Scheduled
1992;M16851;M;298,2;307,8;1583;36,6;185;0;0;0;0;0;0;2025-07-23;Site_C;Kano;Amina;Medium;4269;Scheduled
1993;L49172;L;298,2;307,8;1375;46,6;188;0;0;0;0;0;0;2024-10-14;Site_D;PortHarcourt;Samuel;Low;1454;Scheduled
1994;M16853;M;298,3;308;1463;42,5;190;0;0;0;0;0;0;2026-01-26;Site_D;PortHarcourt;Ngozi;Medium;5912;Monitoring
1995;M16854;M;298,2;307,9;1403;45,1;193;0;0;0;0;0;0;2025-09-07;Site_A;Lagos;Zainab;Medium;2750;Monitoring
1996;L49175;L;298,3;308;1451;47,1;196;0;0;0;0;0;0;2024-11-12;Site_A;Lagos;Ngozi;Low;2159;Monitoring
1997;M16856;M;298,4;308;1416;38,2;198;1;1;0;0;0;0;2026-02-03;Site_B;Abuja;Ngozi;High;10997;InProgress
1998;L49177;L;298,3;308,1;1672;41,3;0;0;0;0;0;0;0;2024-01-09;Site_E;Ibadan;Ngozi;Medium;5569;Scheduled
1999;H31412;H;298,3;308;1637;30,8;2;0;0;0;0;0;0;2025-09-15;Site_F;Enugu;Amina;Medium;4481;Monitoring
2000;L49179;L;298,4;308;1540;37,8;7;0;0;0;0;0;0;2025-01-21;Site_F;Enugu;David;Low;2470;Scheduled
2001;L49180;L;298,4;308,1;1279;53,1;9;0;0;0;0;0;0;2024-05-13;Site_F;Enugu;David;Medium;3258;Monitoring
2002;L49181;L;298,4;308,2;1604;34,9;11;0;0;0;0;0;0;2025-03-02;Site_F;Enugu;Ngozi;Medium;4026;Scheduled
2003;L49182;L;298,5;308,2;1654;27,1;13;0;0;0;0;0;0;2025-10-05;Site_D;PortHarcourt;Zainab;Medium;5122;Monitoring
2004;M16863;M;298,5;308,2;1564;37,5;15;0;0;0;0;0;0;2024-04-23;Site_D;PortHarcourt;Amina;Medium;5538;Monitoring
2005;L49184;L;298,5;308,2;1451;47,5;18;0;0;0;0;0;0;2024-09-07;Site_A;Lagos;Zainab;Medium;3030;Monitoring
2006;L49185;L;298,5;308,3;1504;38;20;0;0;0;0;0;0;2024-11-18;Site_D;PortHarcourt;Chinedu;Low;1583;Scheduled
2007;M16866;M;298,5;308,3;1381;50,5;22;0;0;0;0;0;0;2025-06-26;Site_C;Kano;Zainab;Medium;5229;Monitoring
2008;L49187;L;298,6;308,4;1562;34,4;25;0;0;0;0;0;0;2024-11-13;Site_F;Enugu;Kemi;Low;1397;Scheduled
2009;L49188;L;298,5;308,3;1811;24,7;27;0;0;0;0;0;0;2024-11-21;Site_A;Lagos;Ngozi;Low;1093;Scheduled
2010;M16869;M;298,6;308,3;1717;28,7;29;0;0;0;0;0;0;2024-10-14;Site_B;Abuja;Tunde;Medium;3847;Scheduled
2011;L49190;L;298,6;308,3;1278;60,5;32;0;0;0;0;0;0;2024-09-07;Site_E;Ibadan;Ibrahim;Medium;5938;Scheduled
2012;L49191;L;298,7;308,5;1616;30,2;34;0;0;0;0;0;0;2024-04-03;Site_B;Abuja;Amina;Low;2412;Monitoring
2013;L49192;L;298,6;308,4;1397;46,4;36;0;0;0;0;0;0;2025-11-19;Site_A;Lagos;Ngozi;Medium;4663;Scheduled
2014;L49193;L;298,6;308,4;1485;42,9;38;0;0;0;0;0;0;2024-08-21;Site_C;Kano;David;Medium;5439;Monitoring
2015;L49194;L;298,6;308,4;1310;59,7;40;0;0;0;0;0;0;2025-01-18;Site_F;Enugu;David;Low;1323;Scheduled
2016;L49195;L;298,5;308,2;1301;66,3;42;1;0;0;1;0;0;2024-03-25;Site_C;Kano;Amina;Critical;17057;Closed
2017;L49196;L;298,5;308,3;1458;44;44;0;0;0;0;0;0;2024-02-12;Site_F;Enugu;Kemi;Medium;3263;Monitoring
2018;L49197;L;298,7;308,5;1483;42,5;46;0;0;0;0;0;0;2025-02-15;Site_A;Lagos;Amina;Low;1656;Scheduled
2019;L49198;L;298,7;308,5;1375;46,4;48;0;0;0;0;0;0;2024-03-13;Site_B;Abuja;Ibrahim;Low;1925;Monitoring
2020;M16879;M;298,7;308,5;1660;27;50;0;0;0;0;0;0;2026-02-26;Site_D;PortHarcourt;Kemi;Medium;3617;Monitoring
2021;H31434;H;298,7;308,4;1560;33,3;53;0;0;0;0;0;0;2025-12-15;Site_A;Lagos;David;Low;1846;Scheduled
2022;L49201;L;298,7;308,5;1480;42,2;58;0;0;0;0;0;0;2024-04-01;Site_D;PortHarcourt;Ngozi;Low;2219;Scheduled
2023;L49202;L;298,7;308,4;1373;46,9;60;0;0;0;0;0;0;2026-03-13;Site_F;Enugu;Kemi;Medium;2764;Monitoring
2024;L49203;L;298,7;308,5;1444;54,2;62;0;0;0;0;0;0;2025-02-20;Site_B;Abuja;Fatima;Low;1077;Scheduled
2025;M16884;M;298,7;308,6;1722;24,7;64;0;0;0;0;0;0;2024-08-06;Site_A;Lagos;David;Medium;2574;Monitoring
2026;L49205;L;298,7;308,5;1469;39,9;67;0;0;0;0;0;0;2024-10-04;Site_F;Enugu;Fatima;Medium;4620;Monitoring
2027;M16886;M;298,7;308,5;1360;52,9;69;0;0;0;0;0;0;2025-02-01;Site_E;Ibadan;Fatima;Low;1384;Monitoring
2028;L49207;L;298,7;308,4;1750;25,8;72;0;0;0;0;0;0;2024-10-03;Site_A;Lagos;Fatima;Low;668;Monitoring
2029;M16888;M;298,7;308,3;1349;46,6;74;0;0;0;0;0;0;2025-10-19;Site_F;Enugu;David;Low;563;Scheduled
2030;L49209;L;298,7;308,5;1668;35,2;77;0;0;0;0;0;0;2026-01-19;Site_A;Lagos;Zainab;Low;2144;Monitoring
2031;L49210;L;298,9;308,6;1400;49,5;79;0;0;0;0;0;0;2024-11-18;Site_E;Ibadan;Ibrahim;Low;1097;Scheduled
2032;L49211;L;298,8;308,6;1331;62,8;81;0;0;0;0;0;0;2026-01-20;Site_C;Kano;Ngozi;Low;1507;Monitoring
2033;L49212;L;298,8;308,5;1444;42,2;83;0;0;0;0;0;0;2024-07-22;Site_E;Ibadan;Kemi;Low;1218;Scheduled
2034;H31447;H;298,8;308,5;1359;47,6;85;0;0;0;0;0;0;2025-02-01;Site_D;PortHarcourt;Zainab;Medium;2649;Monitoring
2035;M16894;M;298,8;308,5;1425;47,4;90;0;0;0;0;0;0;2026-01-12;Site_F;Enugu;Fatima;Low;2129;Scheduled
2036;M16895;M;298,9;308,6;1469;34,2;93;0;0;0;0;0;0;2025-02-11;Site_A;Lagos;Kemi;Medium;3788;Monitoring
2037;L49216;L;299;308,7;1892;22,8;96;0;0;0;0;0;0;2024-07-04;Site_E;Ibadan;Kemi;Medium;3770;Monitoring
2038;H31451;H;299;308,7;1940;19,9;98;0;0;0;0;0;0;2025-12-03;Site_B;Abuja;David;Low;2295;Scheduled
2039;L49218;L;299;308,8;1405;55,2;103;0;0;0;0;0;0;2025-05-09;Site_E;Ibadan;Kemi;Medium;4629;Monitoring
2040;M16899;M;299;308,9;1449;39,6;105;0;0;0;0;0;0;2026-04-08;Site_A;Lagos;Tunde;Medium;4767;Monitoring
2041;L49220;L;299,1;308,9;1686;29,6;108;0;0;0;0;0;0;2024-02-15;Site_F;Enugu;Fatima;Medium;5136;Monitoring
2042;L49221;L;299,1;308,9;1680;27,2;110;0;0;0;0;0;0;2025-09-22;Site_A;Lagos;David;Low;1887;Scheduled
2043;M16902;M;299,1;308,9;1397;52,4;112;0;0;0;0;0;0;2024-03-07;Site_C;Kano;David;Medium;5102;Scheduled
2044;M16903;M;299,2;309;1597;30,3;115;0;0;0;0;0;0;2025-01-21;Site_B;Abuja;Samuel;Medium;3824;Scheduled
2045;L49224;L;299,3;309,1;1470;41,1;118;0;0;0;0;0;0;2024-06-28;Site_C;Kano;David;Low;1306;Monitoring
2046;M16905;M;299,3;309,1;1703;31,3;120;0;0;0;0;0;0;2024-05-28;Site_D;PortHarcourt;Ngozi;Low;1872;Scheduled
2047;L49226;L;299,3;309,1;1388;45,5;123;0;0;0;0;0;0;2024-07-07;Site_A;Lagos;Ibrahim;Low;2127;Monitoring
2048;L49227;L;299,3;309,2;1775;24,2;125;0;0;0;0;0;0;2025-12-27;Site_A;Lagos;Fatima;Medium;2579;Scheduled
2049;L49228;L;299,3;309,2;1465;41,5;127;0;0;0;0;0;0;2025-09-15;Site_F;Enugu;Samuel;Low;1016;Monitoring
2050;M16909;M;299,3;309,2;1586;37,9;129;0;0;0;0;0;0;2025-10-26;Site_C;Kano;Samuel;Low;1246;Monitoring
2051;M16910;M;299,5;309,3;1675;29,2;132;0;0;0;0;0;0;2024-07-24;Site_B;Abuja;Tunde;Medium;4316;Scheduled
2052;M16911;M;299,4;309,2;1470;44,4;135;0;0;0;0;0;0;2024-05-07;Site_C;Kano;Amina;Medium;4594;Scheduled
2053;L49232;L;299,5;309,3;1477;40,4;138;0;0;0;0;0;0;2025-07-14;Site_B;Abuja;Zainab;Low;1655;Scheduled
2054;L49233;L;299,5;309,3;1382;61;140;0;0;0;0;0;0;2024-09-02;Site_F;Enugu;Ibrahim;Low;1453;Scheduled
2055;M16914;M;299,6;309,4;1605;29,8;142;0;0;0;0;0;0;2025-02-24;Site_D;PortHarcourt;Amina;Medium;4220;Monitoring
2056;L49235;L;299,6;309,4;1643;32,9;145;0;0;0;0;0;0;2025-08-25;Site_E;Ibadan;Samuel;Medium;3362;Scheduled
2057;L49236;L;299,5;309,3;1333;54,1;147;0;0;0;0;0;0;2024-07-23;Site_D;PortHarcourt;Tunde;Low;1126;Monitoring
2058;L49237;L;299,5;309,3;1520;42,3;149;0;0;0;0;0;0;2024-12-24;Site_C;Kano;Ibrahim;Medium;5861;Monitoring
2059;M16918;M;299,5;309,3;1902;24;151;0;0;0;0;0;0;2025-05-25;Site_A;Lagos;Samuel;Medium;4716;Monitoring
2060;H31473;H;299,5;309,4;1386;44,4;154;0;0;0;0;0;0;2025-11-08;Site_C;Kano;Tunde;Medium;5352;Scheduled
2061;L49240;L;299,6;309,5;1803;27,7;159;0;0;0;0;0;0;2024-01-08;Site_F;Enugu;David;Low;906;Scheduled
2062;L49241;L;299,7;309,6;1359;50,7;161;0;0;0;0;0;0;2025-04-27;Site_E;Ibadan;Samuel;Low;891;Scheduled
2063;M16922;M;299,7;309,6;1477;42,7;163;0;0;0;0;0;0;2025-06-23;Site_F;Enugu;Ibrahim;Medium;5164;Scheduled
2064;L49243;L;299,7;309,6;1321;53,4;166;0;0;0;0;0;0;2025-07-13;Site_D;PortHarcourt;Ibrahim;Medium;5506;Monitoring
2065;L49244;L;299,6;309,5;1453;41,4;168;0;0;0;0;0;0;2024-07-19;Site_C;Kano;Chinedu;Low;1096;Monitoring
2066;L49245;L;299,7;309,6;1419;45,1;170;0;0;0;0;0;0;2025-08-03;Site_E;Ibadan;Ibrahim;Low;2119;Monitoring
